title,link,description,pubdate,location,timestamp
Graphic Designer for Print Guidebooks,https://dribbble.com/jobs/235992-Graphic-Designer-for-Print-Guidebooks?source=index,"We are Dirty Freehub, a non-profit organization providing resources to gravel cyclists. In the ten years weve been in existence, our resources have been provided exclusively online. We are now expanding into the world of print, and were seeking a Graphic Designer to assist us in bringing our vision to fruition.We are creating a series of guidebooks, each which will contain a collection of bicycle maps as well as other content. Though each guidebook will have a separate theme, we would like for the entire series to have a similar look & feel. Each book will be printed in color, be approximately 64 pages in length, and measure roughly 4” x 5.375”. In addition to providing a plethora of excellent content, we want for our books to be visually attractive.We are seeking a Graphic Designer who: can help us refine our mock-ups into an attractive and well thought-out design template that we can use for all of our guidebooks. is well-versed in visual layout and print design. works comfortably on both the big picture and the tiny details. has a creative approach to tackling design challenges. is willing to work collaboratively with our team using Canva. works efficiently and has stellar communication skills. If it makes mutual sense, wed love to have the Graphic Designer assist with the project over the next few years as we publish additional books in our series.",2023-12-06,Remote,2023-12-06 21:28:42.875425
UI Designer,https://dribbble.com/jobs/235991-UI-Designer?source=index,"ZIK Seeks a Lead UI DesignerZIK is crafting an innovative app to streamline a critical aspect of our daily routines.Were in search of exceptional individuals who are leaders in their fields, have a stellar track record, and thrive in a team environment. If that sounds like you, join ZIK - Be Part of Something Big.Were currently seeking a Lead UI Designer.Do you have an eye for pixel-perfect design? Obsessed with detail? Passionate about meticulous UI and intuitive UX? We value that deeply. This role goes beyond having extensive UI design skills; its about a profound dedication to crafting user interfaces that seamlessly blend aesthetics with user experience.As a UI Designer with us, youll:- Engage in our rigorous design process, shaping every aspect of our app across mobile, desktop, and web.- Develop and define our design language.What you need:- A portfolio featuring renowned and/or exceptionally designed apps and websites.- Proficiency in Figma.- It’s a bonus if you are versed in CSS.- The ability to work fluidly with developers, respecting both constraints and platform-specific interface guidelines.With us, youre not just developing a product, you will leave a lasting mark.Up for it? Lets talk.",2023-12-06,Remote,2023-12-06 21:28:43.379606
"Senior Apparel, & Accessories Designer",https://dribbble.com/jobs/234639-Senior-Apparel-Accessories-Designer?source=index,"We are looking for a part or full time: Senior Apparel, & Accessories DesignerYou MUST send examples of apparel/merch you have previously created to be considered.Bonus will go to people who send examples based on our listed visions/current merch store.The role would consist of understanding the initial apparel and merchandise vision and being the creative visionary you are in order to help evolve the lineup.We have no limits to what type of apparel and accessories we are attempting to make:custom head ware - hoodies - jean jackets - leather goods - tote bags - outerwear - joggers - pullovers - sunglasses - AirPods cases - keychains - stationary items - in store retail displays - custom and unique packaging - duffle bags - backpacks - etcOrganization is a must as we work in a CRM system to keep track of projects, make revisions, and communicate with our manufactures.We have an in-house UI/UX and Web Developer, so site changes can be made instantaneously.We look forward to working with a visionary, not simply a graphic designer.Current inspiration:YSL, off-white, FOG, ATM, John Elliot, Supreme, Dior, Chateau Marmont, Gregory SiffSalary: to be discussedwww.turn.me/shop",2023-12-06,Costa Mesa CA,2023-12-06 21:28:43.970966
Graphic Designer + Web Designer,https://dribbble.com/jobs/235958-Graphic-Designer-Web-Designer?source=index,"About:This role supports Makers Row, an online marketplace connecting American manufacturers with diverse businesses. Our company is committed to empowering businesses with digital resources and fostering growth in the digital age.Job Description:We are seeking a talented and versatile creative Graphic + Web/UX/UI Designer to join our team. The ideal candidate will have a keen eye for design and attention to detail. This role will be responsible for creating engaging and on-brand graphics for a variety of media platforms. The Graphic Designer will work full-time position and work closely with our Marketing Lead to develop and execute design concepts for our companys marketing needs.Responsibilities:1. Conceptualize and create graphics for various media platforms and websites/UX/UI, and support the ongoing management of product branding.2. Collaborate with the marketing team to develop design concepts and translate marketing strategies into innovative campaign concepts.3. Assist the Marketing Lead with content planning, management, and prioritization of multiple projects within design specifications and budget restrictions.4. Stay updated with industry developments and tools, and apply new design trends and techniques in the design process.5. Review final productions for errors and ensure that final prints reflect client specifications, maintaining a high standard of quality.Qualifications:1. Proven graphic designing experience with a strong portfolio of illustrations or other graphics, and familiarity with various social media channels and web/UX/UI designs.2. Proficiency in design software and technologies (such as Photoshop, Canva, InDesign, Illustrator, Dreamweaver, Figma).3. A keen eye for aesthetics and details, with the ability to absorb and apply constructive criticism.4. Excellent communication skills to effectively collaborate with the marketing team.5. Ability to work methodically, meet deadlines, and manage multiple projects.",2023-12-06,Remote,2023-12-06 21:28:44.586345
Sr. Product Designer (Remote),https://dribbble.com/jobs/152303-Sr-Product-Designer-Remote?source=index,"About ApolloFounded in 2015, Apollo is a leading sales intelligence and engagement platform trusted by over 13,000 paying customers, from rapidly growing startups to the largest global enterprises.Our platform unifies a database of 200 million business contacts with advanced intelligence and engagement tools, to help over 500,000 sales, marketing, and recruiting professionals to connect with the right person at the right time with the right message, at speed and scale.In the last year, we’ve grown ARR 3x, quadrupled our active users, maintained profitability 18 out of the past 20 months, and recently closed a $110M Series C led by Sequoia to fuel the next phase of our growth.Working at ApolloWe are a remote-first inclusive organization focused on operational excellence. Our way of working ensures clear expectations and an environment to do your best work with ample reward. As a product-led organization, design & user experience are at the forefront of every decision that we make.Your Role & MissionWe are hiring a Senior Product Designer to help craft the future of Apollo. Product Designers serve a vital role here in helping us learn, test, and iterate to build the best experiences possible for our users. We appreciate designers who think deeply, speak clearly, love collaboration and feedback, and are always learning about best practices to master their craft!Our Product Managers, Design, and Engineering teams are structured as Squads that are focused on several core features of the product. You will be assigned to a Squad alongside one Product Manager and multiple Engineers. You will also regularly collaborate with designers from other pods to share learnings and ensure a cohesive user experience.Daily Adventures & Responsibilities Working with the Product Manager on your squad to help brainstorm, build & validate solutions to user problems & goals. Working with Engineers on your squad to understand constraints, hand off designs, and run design QA. Collaborating with your squad during Weekly Sprint Plannings & Daily Standups to ensure that we are building the best experience. Collaborating with other Designers to provide feedback, share + learn best practices & maintain a cohesive experience in the product. Interviewing users to validate designs & learn about user problems. Using & building upon our design system to update portions of your surface. Collaborating with your squad to identify the highest impact areas to work on, develop hypothesis, test, and iterate. Consistently integrating quantitative and qualitative data into essential product decisions. Skills & Competencies 4+ years of experience designing and shipping complex web-based products founded in data and customer insights. You have expert design instincts & best practice knowledge to translate user problems, user goals, business objectives and technical constraints into excellent product experiences to deliver quick turnarounds & shorten feedback loops. You’re a self-starter that thrives while working in a fast-paced environment, working on multiple projects simultaneously. You have experience creating and maintaining components across multiple product surfaces in Figma. You are a voracious learner, constantly trying to learn how to improve customer experience, drive core metrics. Continuously learns new industry standards, staying up to date with how to get the most out of modern design tools including Figma. You have a passion for typography and copywriting and know how to write a simple, compelling microcopy to support your UI design. You’re experimentation-oriented – You have the ability to conduct user interviews, analyze the results of interviews, form hypothesis, test hypothesis with users via prototypes or product experimentation, and iterate. No big ego – we can uphold excellent rhythms within our Product Management, Engineering & Design squads because each member has respect for each other, and has a shared understanding of the goals, vision, and principles that Apollo operates on. You’re highly interested in user-centric design – we like to push each other to stay at the cutting edge of our field :) What Youll Love About ApolloWe offer a competitive salary and benefits, informal, fun, and remote working environment. Our culture thrives in openness and excellence, and we invest tremendous effort into developing our remote employees’ careers.The team embraces that we have a sole purpose: to help customers maximize their full revenue potential on the Apollo platform. This mindset opens us up to a lot of creative approaches to making customers successful at scale.Our work environment is diverse with a global remote team, and we are intentional in building an inclusive culture where everyone can be the best version of themselves. We’re also very collaborative at Apollo, so you’ll be able to lean on your teammates, even in adjacent departments, to help you achieve lofty goals. You’ll be supported and encouraged to experiment and take educated risks that lead to big wins. And, you’ll have a whole team remotely by your side to help you do it!What Else? 📚 A monthly budget for learning and development. 🏝 Unlimited PTO 🍹 Team events",2023-12-06,United States India Colombia or Philippines,2023-12-06 21:28:45.064035
Freelance Graphic Designer,https://dribbble.com/jobs/235927-Freelance-Graphic-Designer?source=index,"We are looking for a Graphic Designer to join our Sales and Marketing team to execute new and improved design across a 300+ page tools catalog. This role will work most closely with the lead Graphic Designer, Marketing Manager, and VP of Product Development in addition to other participating members of our Catalog team in Sales.We will be working off a base file from our last Catalog, produced several years ago using InDesign. The new catalog will be using the same platform (InDesign) to update our branding, product offering, and copy. The ideal candidate must have previous catalog work with examples and thorough knowledge of InDesign, Photoshop, Illustrator, and Acrobat.This role will be a combination of remote and in-office work. Thus, we need someone who is nearby to our office in Bridgeport, CT or able to easily commute on a weekly basis.Project length is TBD, but will be ongoing over the course of next year until completion. 20hrs minimum weekly requirement.Start Date: January 8th, 2024Breakdown of Requirements Must have previous experience designing catalogs, with examples of work Bachelor’s degree or equivalent experience in related field Ability to work both in our office in Bridgeport, CT and remotely, as needed 3+ years of proven experience working in Graphic Design Proficient in Adobe InDesign, Photoshop, Illustrator, and Acrobat A strong body of branding work Excellent collaboration skills Detail-oriented and well-organized Excellent written and verbal communication skills Outstanding time management skills and ability to handle fast turnaround times Experience with project management and collaborative tools such as Asana, Smartsheet, Teams, is a plus. Collaborate with Marketing team to establish and maintain a consistent visual identity across all marketing channels and participate in project planning meetings. Ability to take simple product photography using a lightbox and ability to touch up photos using Photoshop Ability to take on additional graphic design work if needed to support our regular operations while working with a small team. Packaging design and production experience is a plus. Ability to commit a minimum of at least 20 hours per week.",2023-12-06,Bridgeport CT,2023-12-06 21:28:45.659880
B2C Personal Credit Platform Design,https://dribbble.com/jobs/235926-B2C-Personal-Credit-Platform-Design?source=index,"Project Title: Next-Gen B2C Personal Credit Improvement Platform DesignIntroduction: The Credit Pros invites proposals from experienced UI/UX design firms for the comprehensive design revamp of our B2C Personal Credit Improvement platform. Were dedicated to enhancing consumer experiences in credit management across the United States, and we aim to bring on board a firm with a proven track record in the fintech space, particularly within consumer credit functionalities such as credit reports, monitoring, and identity protection.Project Overview: The selected firm will oversee the design overhaul of web, iOS, and Android versions of our platform. We are open to discussing the best technological stack to balance maintenance, iterative improvements, and performance efficiency - be it React/React Native, Flutter, or even low-code options like Bubble. Input on achieving optimal performance with a unified code base versus platform-specific development is sought; however, excellence in user experience is our priority.Scope of Work: Development of wireframes, interactive prototypes, and high-fidelity designs aligned with our brand and customer needs. Assessment and recommendation of design frameworks and tools, preferably Figma, for a collaborative design process. Creation of user journeys and flows, considering benchmark platforms such as Credit Karma, Credit Sesame, Wallet Hub, and Credit.com. Collaboration with our internal development team to implement the design in a seamless, agile manner. Deliverables: Comprehensive user interface designs for web and mobile applications. Design files and assets compatible with chosen development frameworks. Interactive prototypes demonstrating user flows and features. Documentation outlining design guidelines and rationale. Experience Required: Direct experience in designing fintech applications, with past projects in the consumer credit space. Proficient in standard design and prototyping tools, specifically Figma, for design collaboration. Familiarity with agile development, sprint planning, and task management in Jira. Comfortable with using Github for design version control and collaboration with developers. Timelines: The project is expected to kick off within one month from the selection date. We anticipate a design phase of 3-4 months, with a flexible approach to extend based on iterative feedback and testing outcomes.Communication: Regular communication will be maintained via email, Teams, and weekly MS Teams meetings with our project management team to ensure alignment and timely updates.Proposal Submission: Interested firms should submit proposals including: A portfolio showcasing relevant past work in fintech UI/UX design. A brief outline of your approach to the projects technology stack and design process. Estimated timelines and milestones for the design phases. Team composition and experience profiles. Confirmation of availability for the proposed timelines. Deadline for Proposal Submission: TBDWe look forward to your innovative designs and cutting-edge solutions to redefine personal credit management. Join us in revolutionizing the credit experience for consumers nationwide.",2023-12-06,remote,2023-12-06 21:28:46.074742
Digital eBook Layout designer,https://dribbble.com/jobs/235925-Digital-eBook-Layout-designer?source=index,NOTE: This position is for Eastern Europe ONLY.We (at Contrast UX Agency) are currently looking for amazing brand designers to join us to designing ebook templates for a SaaS company that creates ebooks using AI and other sources. We are looking for top notch - typography is in their blood type of designers 🤩Are you a good fit? than wed love for you to apply!,2023-12-06,Remote,2023-12-06 21:28:46.701505
Product and Data Visualization Designer,https://dribbble.com/jobs/235893-Product-and-Data-Visualization-Designer?source=index,"About the PositionEpoch is in search of a Product and Data Visualization Designer to own the design and visual communication of our research. In this role, you will be the creative force behind how our research is experienced and understood globally. You will help us articulate complex data and insights through UI and UX that is both intuitive and engaging, and maintain a cohesive visual identity across all of Epochs communication channels, including our website, interactive dashboards, and data visualizations. This work will be key for enhancing our dialogue with the research community and stakeholders.This role is fully remote, and we are able to hire in many countries (see full post for details). We welcome both full-time and part-time applicants, with a preference for full-time candidates. Apply here now!About EpochEpoch is a research institute that investigates trends in machine learning and the economic consequences of AI.Our work informs research and policy-making at the UK Department of Science, Innovation and Technology, Anthropic, the Centre for the Governance of AI, the Centre for Data Ethics and Innovation, Open Philanthropy, the Center for Security and Emerging Technology and elsewhere. Epoch’s research has been cited in media publications such as the MIT Technology Review and The Economist, and underpins Our World In Data’s AI visualizations.You can learn more about our work in this summary dashboard or our research reports.Key Responsibilities Maintaining and updating the design of our website. Designing graphs and visualizations for our interactive reports, papers and presentations, to ensure we are communicating our research effectively. Designing and reviewing interactive dashboards to summarize our research (example). Designing and reviewing playgrounds for interactive models of AI and automation (example 1, example 2) Designing various other external facing documents and templates, such as our newsletter or reports for stakeholders. Conducting user research and interviews with our stakeholders on design elements. Depending on your interests and skills, you could get involved in other aspects of our communications, such as homogenizing the structure and style of our papers, among others. What We Are Looking ForRequirements At least 3 years of UI and UX experience, incl. web design, graphic design, and brand design At least 1 year of data visualization experience, incl. creating charts and data visualizations for publications, marketing and UI dashboards Portfolio showcasing work in UI/UX and data visualization Aesthetic intuition to create visually appealing and effective designs Skill in communicating complex insights to non-expert audiences. Experience in Figma or a similar UI software Intellectual curiosity and open-mindedness Interest in Epoch’s work Nice to have 4 or more years of UI and UX experience. 2 or more years of data visualization experience. Familiarity with Epoch’s research or related topics. Experience with scientific communication. Front-end development experience in HTML + CSS + JS. Experience with Pyplot, Plotlib or other data visualization programming tools. Good written communication skills. BenefitsCompensation Annual salary between the following ranges pre-tax for a full-time position. $60,000 - $80,000 USD €55,604 - €74,139 £47,586 - £63,448 Payments are not restricted to the currencies listed above, and may be made in different currencies and payment intervals depending on the location of applicants and legal requirements. Other Benefits Flexible work hours and location Comprehensive global benefits package (while they vary by country, we make every effort to ensure that our benefits package is equitable and high-quality for all staff) Generous paid time off leave, including, but not limited to: Unlimited vacation with a minimum of 30 days off per year Unlimited (within reason) personal and sick leave Parental leave - up to 6 months of parental leave during the first 2 years after a child’s birth or adoption for parents of all genders For more details about our benefits, please see our Benefit Package for Permanent Roles A caring team that values respectful work relations and a healthy work-life balance Opportunities to grow/advance your career and engage in professional development For more information, see the full post.",2023-12-06,Remote,2023-12-06 21:28:47.198619
Remote UI/UX Designer,https://dribbble.com/jobs/235892-Remote-UI-UX-Designer?source=index,"Were Building The Future Of The WorkforceArtisan AI is revolutionizing the future of work by building out-of-the-box digital workers, called Artisans, capable of automating job functions from end to end. Our first Artisan (an outbound sales rep called Ava) is launching in under a week, and were moving at lightning speed to execute our ambitious product roadmap. We are entirely product-led, and every Artisan we create needs to be 10x better than existing solutions.Key Responsibilities Manage all UI/UX design for our platform. Create design wireframes. Design hi-fi UIs in Figma. Continuously stay up-to-date with UI/UX best practices. Create beautiful designs which are easy to navigate & flow well. About You At least 4+ years of UI design experience. A person who does not settle for good, and strives for great. A forward-thinker who can consistently come up with great, unique ideas. Somebody willing to put in hard work to meet tight deadlines. Previous experience designing a B2B SaaS product.",2023-12-06,Remote,2023-12-06 21:28:47.849808
