title,link,description,pubdate,location,timestamp
Performance Marketing Manager,https://tryremotely.com/jobs/retool-performance-marketing-manager-65924,"

  ABOUT RETOOL:  Nearly every company in the world runs on custom business software: Gartner estimates that up to 50% of all code is written for internal usage. This is the operational software for refunding orders underwriting loans moderating content managing marketplaces rolling out new features onboarding employees analyzing transactions providing customer support…the list is nearly endless. For most companies building and maintaining all of these tools demands a lot of engineering time—scarce expensive resources better put to use on customer-facing products. At Retool we’re designing a new type of development environment that makes it dramatically faster and easier to build all of this software. Retool unifies the ease of visual programming with the power of code while abstracting away the tedious and repetitive tasks of development. We believe that the future of software development lies in being a force multiplier for developers and technical builders helping them move considerably faster and build a lot more software.  It’s akin to a new version of Visual Basic HyperCard or Flash—with a bit of Figma and some future-of-programming vibes thrown on top. Today our customers span from small startups building their first operational tools to Fortune 500 companies building mission-critical apps for thousands of users across their business. Why were looking for you Retool is the fast way to build internal tools. Thousands of companies—like Brex DoorDash and Pinterest—use Retool to build custom apps that help them manage drivers approve loans and run any process that gets business done. We’ve grown exponentially each year since being founded but need help reaching millions more developers. That’s where you come in. As the performance marketing manager at Retool you’ll create and execute our paid ads marketing strategy build campaigns to accelerate our pipeline and scale marketing channels while promoting our product and content efforts. We’re a fast-paced startup with plenty of room to experiment and create immediate impact from your work. You’ll get to wear different hats and work across many teams at Retool.  What youll do You’ll own plan execute and manage all performance marketing initiatives at Retool including but not limited to paid ads and programmatic advertising. You will play a key role driving Retool’s continued growth and success on all online ads channels. Success in this role will require deep experience in performance marketing a drive for continuous improvement and desire to drive real value to Retool’s customers and prospects. No two days will be the same. As part of a rapidly scaling team you will have the opportunity to assist in various other areas of demand generation and growth. Who youll work with You’ll be working with almost every Retool but will most often be partnering with marketers designers finance and go-to-market teams to execute on marketing campaigns at scale. We really like spending time with each other in person and believe in the power of in-person collaboration creativity and connection so we have returned in a hybrid capacity to our San Francisco offices 3 days a week.  In this role youll:  Build scale and optimize online paid ads channels like Google Ads Bing Ads LinkedIn Ads Meta Ads Recommend strategise and incorporate additional paid ads platform from to further Retool’s online acquisition strategy Run experiments to improve success metrics across programs and campaigns Create campaigns targeting every stage of the demand funnel to accelerate pipeline generation Evaluate and track key success metrics across all paid advertisement channels (e.g. performance ROI etc.) and provide recommendations on budget distribution across different channels campaigns and tactics Work closely with the organic growth team to balance spend and impact through the paid advertisement channels Keep the programs and campaigns efficient and build streamlined reporting processes to communicate our impact with the right stakeholders  The skill set youll bring:  5+ years of performance marketing experience with a B2B or developer tools startup 3+ years experience managing LinkedIn Ads Google Ads Meta Ads and Bing Ads 2+ years experience managing programmatic ads Experience with regional platforms like Xing Naver Baidu etc. is highly desired  Experience working with the BDR and Sales team to ensure alignment of goals and establish SLAs on handoffs Experience measuring analyzing and reporting performance of programs and campaigns and developing optimization strategies Familiarity with Salesforce and Hubspot (or other similar CRM and marketing automation tools) Excellent communication and presentation skills Strong project management skills with an ability to keeping multiple work streams and cross-functional partners and vendors in sync around timelines Strong ownership mindset to do whatever is needed to deliver the best marketing to our customers     Retool offers generous benefits to all employees. For more information please visit the benefits and perks section of our careers page! Retool is currently set up to employ all roles in the US and specific roles in the UK. To find roles that can be employed in the UK please refer to our careers page and review the indicated locations. 



See more
",2024-01-12,Canada,2024-01-12 10:06:04.080572
Oracle Hyperion - HFM,https://tryremotely.com/jobs/navisite-oracle-hyperion-hfm-65923,"


At Navisite celebrating our employees and investing in their well-being and development is not just a priority or an initiative - its woven directly into our company fabric. Our mantra and unofficial corporate hashtag #SoMuchGood is all about recognizing our teams commitment and achievements both inside and outside the office. Its that theme that has driven a host of programs at Navisite - its who we are. What we do is simple: We work hard we have fun we give back to the community and we never take our eye off the goal - creating a modern cloud MSP with a global talented team of employees. Join us and be part of our team!!
Position Summary: HFM/FDMEE Senior consultant - responsible for delivery of customers day to day functional operations.
•Responsible for planning assessing risks gathering requirements designing developing and delivering HFM FDMEE and Oracle FCCS applications.
•Provide functional knowledge and expertise in core EPM processes including Consolidation and Reporting and Account Reconciliations translating them into system solutions.
•Act as an individual contributor to implement solutions and manage day-to-day application reporting and delivery support for customers.
•Identify and escalate critical issues that impact the strategic and operational success of customers reporting cycles monthly close and projects.
•Play a pivotal role in various activities including requirement gathering ongoing managed services support and project work.
•Demonstrate strong communication skills including the ability to lead meetings effectively facilitate discussions and provide clear guidance to team members and stakeholders.
•Document support activities related to customers.
•Execute support activities hands-on and oversee a team for delivery.
Qualifications:
•Minimum of 7 years of project experience in EPM Suite of Products 11.x and/or Oracle FCCS.
•Accounting/Finance degree required.
•Hands-on experience in building metadata designing web forms data reconciliation building dashboards and creating complex business rules for custom consolidations.
•Proficiency in creating Business Rules for custom consolidations intercompany eliminations automating cash flow custom translations currency overrides and dynamic calculations.
•Thorough knowledge of intercompany eliminations currency translations and financial statement presentations.
•Excellent skills in Excel VB and python scripting.
•Knowledge of upgrades and migration from On-Premises to Cloud.
•Familiarity with FDMEE functionality and reports.
•Understanding of DRM (Data Relationship Management) and EDMCS (Enterprise Data Management Cloud Service).
•Exceptional customer-facing skills and effective communication both oral and written.
•Strong understanding of corporate month-end close and consolidation processes along with actual corporate reporting requirements.
•Extensive experience in developing and maintaining FDM/FDMEE mappings and validation rules including writing custom scripts and expertise in batch loads within FDMEE.
•Ability to research application and service logs to troubleshoot application issues.
•Capability to work independently manage small engagements or contribute to large engagements.
•Willingness to mentor junior staff and collaborate effectively within a team.
•Flexibility to work various shifts in India (morning afternoon evening and night).
•Willingness to work in a hybrid model from a Pune location or remotely from any India location.
Preferred Skills & Experience:
•Experience conducting User Acceptance Tests and preparing deliverables such as design documents test documentation training materials and administration/procedural guides.
•Understanding and experience of software development best practices.
•Knowledge of any RDBMS (Relational Database Management System) like Oracle or SQL Server.
•Familiarity with Essbase/Planning or OneStream is a plus.
•Experience with end-end implementation of HFM FCCS FDMEE and project management is a plus. Additional Information 
Navisite is an equal opportunity employer. We celebrate diversity and we are committed to creating an inclusive environment for all employees. Navisite does not discriminate in employment on the basis of race color religion sex (including pregnancy and gender identity) national origin political affiliation sexual orientation marital status disability genetic information age membership in an employee organization parental status military service or other non-merit factor.
Internal Applicants – No sponsorship available / External Applicants – Sponsorship not guaranteed. Any potential sponsorship depends on a number of factors including but not limited to the local candidate pool and can vary from year to year.
You must ensure compliance with data protection legislation under the DPA EU GDPR any other ​applicable ​data protection legislation​.


See more
",2024-01-12,India,2024-01-12 10:06:06.794316
Senior Salesforce Marketing Cloud Engineer (Day-Rate),https://tryremotely.com/jobs/xero-senior-salesforce-marketing-cloud-engineer-day-rate-65922,"


Xero is a beautiful easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.
At Xero our purpose is to make life better for people in small business their advisors and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools information and connections. Because when they succeed they make a difference and when millions of small businesses are making a difference the world is a more beautiful place.
Whats the role?
As a Senior Engineer specialising in Salesforce Marketing Cloud you will be working across multiple technical projects across the Salesforce ecosystem with a focus on Marketing Cloud. Our suite includes various Salesforce products 3rd party tools and integrations with other Saas vendors and custom built solutions.
You will have experience in various clouds in Marketing Cloud and have hands-on experience building out new SFMC capability in an enterprise level environment.As a senior engineer you will work with your lead engineer engineering team lead and our team of engineers to solution and deliver on new and exciting business initiatives that require development to deliver customer benefit.
You will develop integrations between our platforms utilizing OOTB Salesforce methods and API integrations.
You will work closely with our experienced Customer Platforms team across the Salesforce platform as well as work closely with our Xero Customer teams to help them meet ambitious Xero growth ambitions. You’ll foster a positive team culture provide technical guidance and develop in accordance with Salesforce best practices and standards. How youll make an impact: 
You’ll work in collaboration with other team members to help create and deliver beautiful software to our customers.
You’ll undertake software application development on applications across our technology stack contributing to new or improved experiences for our customers internal and external.
You’ll contribute to our cross functional environment by working towards the same objectives using modern principles and practices.
Youll help build and manage software that solves engineering problems at scale. You will be enabled to seek clarity with technical complexities and be able to demonstrate smart ways to automate processes. What youll do: 

Create software - Care deeply about customer problems and technical excellence produce robust high quality and scalable software. Relentlessly automate manual processes. Contribute to technical solution designs that embrace a quality-first approach. Participate in code reviews.

Enable new capability - As a Marketing Cloud Engineer you will be expected to introduce the team to the latest technical developments in Marketing Cloud and evaluate if they should be onboarded into our environment.

Uplift functionality - Our Marketing Cloud instance has been around for 5 years and as such has numerous activities that can be refactored to improve performance

Test software - Design and automate testing activities that effectively reveal product quality across a range of risk areas and acceptance criteria. Collaborate with the team and understand their own responsibility for quality.

Resolve issues - Triage and solve development and production issues and be able to quickly track down the root cause. Communicate the impact of the problem to stakeholders in terms of business value helping to set a priority for the resolution. Actively participate in incident responses.

Engineering standards & frameworks - Maintain knowledge of Xero’s current and emerging engineering standards and practices. Develop and deploy software that meets Xeros standards.

Continuous improvement - Maintain knowledge of current and emerging development technologies and methodologies. Develop expertise in one or more programming languages and ecosystem specific technologies.

Deliver infrastructure in a production environment - Maintain and monitor delivery processes. Ensure all software is running as expected and proactively work to prevent customer facing problems.

Agile software and delivery practices - Practise agile software development. Occasionally facilitate agile ceremonies. Proactively work to improve team processes. What youll bring 
Broad Salesforce Marketing Cloud experience with previous experience implementing and supporting development at enterprise sized organisations.
Advanced knowledge of Automation Studio Mobile Studio Contact Builder
Front end development experience if you have full stack or front end experience in another system and were interested in learning SFMC and Salesforce we would be interested to chat.
Salesforce certifications are highly beneficial especially those relating to development in Marketing Cloud.
Experience with Sales Cloud and other Salesforce products is desirable.Proficient use of one or more programming languages: SQL Ampscript GTL or JavaScript.
Experience using SFMC integrations via Journey builder custom activities or API.Ability to debug across the technology stack.
Confident in upgrading the tooling and technology that connects to our products.
Proficient in roll out and maintenance of cloud infrastructure.
Confident in designing and implementing new solutions in the Marketing Cloud environment.
Knowledge of Marketing Cloud’s API endpoints and the ability to install packages and connect with external data sources.Able to implement resilient software design patterns.
Able to maintain update and document team APIs.
Ability to coach and mentor engineers to develop their technical proficiency.Familiar with application and infrastructure security concerns and proactively mitigates issues.
Demonstrated ability to respond to production incidents. Critical competencies  
Growth mindset proactive positive ‘can-do’ attitude exceptionally self-motivated and directed.
Excellent oral written presentation and stakeholder management skills.
Ability to take challenges and processes to gather business requirements in a consultative manner to resolve those challenges and automate processes.
Superior analytical evaluative and problem-solving abilities with a keen attention to detail.
Strong teamwork skills and understanding of what it takes to create maintain and contribute to a high performing team culture. Experience 
5+ years hands-on experience as a Developer or Engineer with Salesforce Marketing Cloud with relevant certifications or similar experience as a full-stack or front end developer.
Experience with integrations between Salesforce and 3rd party applications.
Hold some of the following certifications: Marketing Cloud Developer Marketing Cloud Consultant Sales Cloud Consultant Platform Developer 1 Platform App Builder or other relevant certifications. Additional Information 
Why Xero?
At Xero we support many types of flexible working arrangements that allow you to balance your work your life and your passions. We offer a great remuneration package including shares plus a range of leave options to suit your well-being. Our work environment encourages continuous improvement and career development and you’ll get to work with the latest technology.
Our collaborative and inclusive culture is one we’re immensely proud of. We know that a diverse workforce is a strength that enables businesses including ours to better understand and serve customers attract top talent and innovate successfully. We are a member of Pride in Diversity in recognition of our inclusive workplace. Our goal is to make sure you feel welcome and supported to do the best work of your life.
At Xero we embrace diversity and inclusion and value a #challenge mindset. Research has shown that women and underrepresented groups are less likely to apply to jobs unless they meet every single competency or experience . If you are excited about this role but your past experience doesnt align perfectly we encourage you to apply anyway. You could be just the right person for this role and Xero. If you have any support or access requirements we encourage you to advise us at time of application and throughout the interview process.


See more
",2024-01-12,Australia,2024-01-12 10:06:33.439453
Sales Development Representative,https://tryremotely.com/jobs/1password-sales-development-representative-65921,"


We all have important information we need to manage and protecting it should be easy. Over 100000 businesses and millions of people log in to 1Password to unlock smart simple access to everything they care about. Our vision is to create a safer simpler digital future for everyone and our culture values simplicity honesty and a human-centric approach to solving problems. Come help us unlock peace of mind so everyone can stay safer online.
Our Sales Development team is the first point of contact for businesses that are considering 1Password. As a Sales Development Representative (SDR) you will be responding to inbound sales related inquiries. The goal of an SDR is to both generate qualified sales opportunities for our Sales Executive team and provide excellent experiences to our prospective customers.
This is a Remote opportunity in the UK What were looking for: 
You have 1 or more years of relevant customer facing experience.
You are ready to engage potential prospective customers via a high volume of phone calls emails video and Linkedin touches.
You have a strong sense of curiosity and can uncover business initiatives and challenges that prospective customers are having. Being an effective problem solver is critical in this role.
You have strong business acumen and can speak to the value that 1Password brings to our customers.
You have excellent written and oral communication skills.
You are a motivated individual who is driven to achieve goals and who can demonstrate persistence.
You have a growth mindset and positive attitude.
It’s a bonus if you have personal experience with 1Password as it will help you quickly gain confidence in this role. What you can expect: 
You will provide excellent experiences for our prospective customers and ensure they are responded to promptly.
You will generate sales opportunities by qualifying the interest of our inbound prospects and providing introductions to our Sales Executive team.
You will get to know 1Password and what challenges it solves for our customers and users.
You will leverage an industry-leading software stack including Salesforce Outreach and Linkedin.
You will try new things – if something isn’t working you’ll be encouraged to be creative and to try a new tactic and strategies. Additional Information 
We believe in the power of remote work but we also recognize that some in-person connection with team members and customers is important to help us achieve our mission. While we are a remote-first company occasional travel for in-person engagement will be a part of this role. This may include but is not limited to bi-annual department-wide offsites quarterly department meetings and periodic customer events. These events will typically be held in varying locations across Canada and the USA. In leadership roles you can expect to travel once per month on average.
What we offer:
We believe in working hard and resting hard. We’re always looking for new ways to support our team members but here’s a glance at what we currently offer: 
Health and wellbeing
> 
👶 Maternity and parental leave top up programs> 
👟 Wellness spending account> 
🏝 Generous PTO policy> 💖 Company-wide wellness days off scheduled throughout the year
> 
🧠 Wellness Coach membership> 
🩺 Comprehensive health coverageGrowth and future
> 
📈 Employee stock option program for all full time employees> 
💸 Retirement matching program> 
💡 Training budget 1Password University access and learning sessions> 🔑 Free 1Password account (and friends and family discount!)
Flexibility and community
> 
🤝 Paid volunteer days> 
🌎 Employee-led DEI&B programs and ERGs> 
🏠 Fully remote environment> 
🏆 Peer-to-peer recognition through Bonusly You belong here. 
1Password is proud to be an equal opportunity employer. We are committed to fostering an inclusive diverse and equitable workplace that is built on trust support and respect. We welcome all individuals and do not discriminate on the basis of gender identity and expression race ethnicity disability sexual orientation colour religion creed gender national origin age marital status pregnancy sex citizenship education languages spoken or veteran status. Be yourself find your people and share the things you love. 
Accommodation is available upon request at any point during our recruitment process. If you require an accommodation please speak to your talent acquisition partner or email us at nextbit@agilebits.com and we’ll work to meet your needs. 
Remote work is a part of our DNA. Given that our company was founded remotely in 2005 we can safely say were experts at building remote culture. That said remote work at 1Password does mean working from your home country. If youve got questions or concerns about this your Talent Partner would be happy to address them with you.
Successful applicants will be required to complete a background check that may consist of prior employment verification reference checks education confirmation criminal background publicly available social media credit history or other information as permitted by local law.
Candidate Privacy Notice
When you apply for a position refer a candidate or are being considered for a role at AgileBits Inc. (dba 1Password 1Password we us or our) your information is stored in Lever in accordance withLevers Service Privacy Notice. We use this information to evaluate your candidacy for the posted position. We also store this information and may use it in relation to future positions to which you apply or which we believe may be relevant to you given your background.
Candidates may also optionally choose to self-identify their race/ethnicity gender identity sexual orientation age and disability. These answers will help us evaluate our diversity and belonging efforts. You do not have to answer these questions—your answers will not be linked to your name or job application will not be visible to the hiring manager reviewing your application and will in no way affect your job application. If you have any questions about the collection or use of this information please contactdpo@1password.com.
When we have no ongoing legitimate business need to process your information we will either delete or anonymize it. If you have any questions about how we use or process your information or if you would like to ask to access correct or delete your information please contact our privacy team at dpo@1password.com or through1Password Support.


See more
",2024-01-12,United Kingdom,2024-01-12 10:06:34.022599
"Manager, Inside Sales - Commercial",https://tryremotely.com/jobs/samsara-manager-inside-sales-commercial-65920,"

  Who we are Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud which is a platform that enables organizations that depend on physical operations to harness Internet of Things (IoT) data to develop actionable insights and improve their operations. At Samsara we are helping improve the safety efficiency and sustainability of the physical operations that power our global economy. Representing more than 40% of global GDP these industries are the infrastructure of our planet including agriculture construction field services transportation and manufacturing — and we are excited to help digitally transform their operations at scale. Working at Samsara means you’ll help define the future of physical operations and be on a team that’s shaping an exciting array of product solutions including Video-Based Safety Vehicle Telematics Apps and Driver Workflows Equipment Monitoring and Site Visibility. As part of a recently public company you’ll have the autonomy and support to make an impact as we build for the long term.  Recent awards we’ve won include: Glassdoors Highest-Rated Tech Companies for Culture and Values 2023 Great Place To Work Certified™ 2023 Best Place to Work by Built In 2023 Financial Times The Americas’ Fastest Growing Companies 2023 Deloitte Fast 500 Companies We see a profound opportunity for data to improve the safety efficiency and sustainability of operations and hope you consider joining us on this exciting journey.  About the role: Samsara is seeking an Inside Sales Manager to join our passionate high energy and fast moving sales team. You’ll lead and support our Account Executives focusing on small to mid-sized organizations. You will have a consistent track record of ability to hire develop and lead an inclusive engaged and high performing team. You should apply if:    You want to impact the industries that run our world: Your efforts will result in real-world impact—helping to keep the lights on get food into grocery stores and most importantly ensure workers return home safely.  You have innate curiosity in how businesses work: One day you’ll meet with someone in waste management and the next you may be learning about the inner workings of a food distribution center. Our top sales team members seek to learn the ins and outs of the businesses they support in order to make a larger impact.   You build genuine relationships with your customers: The industries we serve have relied on pen-and-paper solutions for years and haven’t been met with the type of technology we offer. Our customers value earned trust and human relationships built over time.  You want to be with the best: Samsara’s high-performance culture means you’ll be surrounded by the best and challenged to go farther than you have before.   You are a team player: At Samsara sales is a team sport. We help each other out by sharing best practices and focus on winning as a team.  Click here to learn about what we value at Samsara.   In this role you will:   Coach a team of ~8 account executives on sales strategy pipeline reviews and achieve quarterly targets Hire new account executives and provide both onboarding and ongoing coaching to ensure their growth and success Work cross-functionally to strategically solve problems and project manage Create content for ongoing training and development Support account executives through professional development plans Provide clear and tactical feedback to account executivesFurther culture within the team and commercial organization with high emotional intelligence Champion role model and embed Samsara’s cultural principles (Focus on Customer Success Build for the Long Term Adopt a Growth Mindset Be Inclusive Win as a Team) as we scale globally and across new offices Hire develop and lead an inclusive engaged and high-performing team   Minimum requirements for the role:  3+ years sales experience with proven performance owning a complex selling motion from prospecting through close 1-2+ years preferred experience managing a team Experience selling full-cycle sales Strong track record of overachievement with experience in coaching a team on outbounding  Understanding of complex sales cycles involving multiple decision makers multiple products and extended time-frames  Excellent communication skills and comfortable with public speaking  Strong interpersonal and team management skills Self-starter and adaptable to change   Continued growth mindset to learn a unique industry  Proficient in data driven decision making  Ability to provide upwards feedback  Familiarity with SFDC    Samsara’s Compensation Philosophy: Samsara’s compensation program is designed to deliver Total Direct Compensation (based on role level and geography) that is at or above market. We do this through our base salary + bonus/variable + restricted stock unit awards (RSUs) for eligible roles.  For eligible roles a new hire RSU award may be awarded at the time of hire and additional RSU refresh grants may be awarded annually.  We pay for performance and top performers in eligible roles may receive above-market equity refresh awards which allow employees to achieve higher market positioning. Annual on-target earnings (OTE) range for full-time employees for this position is below and depends on your city of residence.  $164220
—$234600 USD  At Samsara we welcome everyone regardless of their background race national origin gender gender identity sexual orientation protected veteran status disability age etc. We depend on the unique approaches of our team members to help us solve complex problems. We are committed to increasing diversity across our team and ensuring that Samsara is a place where people from all backgrounds can make an impact. Benefits Full time employees receive a competitive total compensation package along with employee-led remote and flexible working health benefits Samsara for Good charity fund and much much more. Take a look at our Benefits site to learn more. Accommodations  Samsara is an inclusive work environment and we are committed to ensuring equal opportunity in employment for qualified persons with disabilities. Please email accessibleinterviewing@samsara.com or click here if you require any reasonable accommodations throughout the recruiting process. Flexible Working  At Samsara we have 
adopted a flexible way of working enabling teams and individuals to do their best work regardless of where they’re based. We value in-person collaboration and know a change of scenery and quiet space to work is welcomed from time to time but also appreciate that the world of work has changed. Our offices remain open for those who prefer to collaborate or work in-office but we also encourage fully remote applicants. As most roles are not required to be in the office we are able to hire remotely where Samsara has an established presence. If a role is required to be in a certain location and candidates do not have work authorization for that location Samsara will conduct an immigration assessment. If the role is not required to be in a specific location Samsara will move forward with the remote location that works best for the business. All offers of employment are contingent upon an individual’s ability to secure and maintain the legal right to work at the company.    Please note: Samsara does not accept agency resumes and is not responsible for any fees related to unsolicited resumes. Please do not forward resumes to Samsara employees. 








See more
",2024-01-12,Canada,2024-01-12 10:06:34.778461
"Solutions Architect-  AI, and ML (AWS)",https://tryremotely.com/jobs/rackspace-solutions-architect-ai-and-ml-aws-65919,"


Job Summary: 
We are expanding our team of motivated technologists with a proven track record of delivering results in technology consulting. Specifically looking for an AWS Data science Architect who is passionate about helping customers build Data Science and AI/ML solutions at scale. Being an experienced technologist with technical depth and breadth aided with strong interpersonal skills you will work directly with customers as part of a delivery team helping to enable innovation through continuous delivery across technology stacks and creating robust Data Science solution designs that align to business goals. Your insight and experience will help our delivery teams build architectures and provide prescriptive guidance across Data Science Machine learning Generative AI databases security and automation. In addition you will work with mid-tier technologies that include application integration security and much more!This role includes both deliveries in a Professional Services Data Science Architect or an SME role on customer engagements as well a commitment to ensuring the overall success of Customer Projects.
The qualified AWS Data science Architect will have demonstrated the ability to think strategically about businesses create technical definitions around customer objectives in complex situations develop solution strategies motivate & mobilize resources and deliver results. The ability to connect technology with measurable business value is a critical component to be successful in this role. We seek team members who are self-motivated driven collaborative passionate about AWS Data science machine learning and want to have a direct positive impact on our customers business. Strong communication skills and emotional intelligence are also needed to help develop a team that works with you.
Work Location: Remote Key Responsibilities:  
As the AWS Data science Architect you will be technically focused but also will understand and implement business planning.
Be the technical liaison between customers and engineering resources.
Provide tactical scope and work directly with the business representatives/customers to understand the requirements driving the need for a solution to be developed.
Communicate effectively with both business and technical colleagues throughout the course of the project.
Ensure that all the appropriate questions are asked and verify that nothing crucial to the success of the project is overlooked.
Be an AWS evangelist by educating a variety of customers on the value of AWS Machine Learning services.
Work with customers to enable a DevOps culture and modernize operations and release strategies.
Establish credibility and build impactful relationships with our customers to enable them to be Data Science and Machine learning advocates.
Participate in deep architectural discussions to build confidence and ensure customer success when building new or migrating existing ML solutions onto AWS. Qualifications:  
10+ years of experience in customer-facing software/technology data analysis or consulting.
Minimum 5+ years of experience architecting and building Data Science and Machine Learning solutions.
Minimum 5+ years of experience with AWS or other public cloud Data Science and Machine learning solutions
Proven experience in architecting and implementing data science and machine learning solutions on AWS.
Experience in machine learning algorithms statistics data modeling techniques and large language models.
Professional experience with AWS Data Analytics and AI/ML Services
Demonstrated knowledge of software development tools and methodologies
Experience in Developing and implementing a variety of machine learning models including but not limited to: Regression Models Classification Models. Clustering Models and Large Language Models.
Lead the deployment of machine learning models into production environments ensuring seamless integration with existing systems and applications.
Implemented and managed CI/CD pipelines for automated model deployment and updates
Solid understanding of agile methodologies
Master or Ph.D. in Computers and/or Data Science.
AWS ML Specialization certification is a must.ce.
AWS ML Specialization certification is a must.
Discover your inner Racker: Racker Life  Additional Information 
The following information isrequiredby pay transparency legislation in the following states: CA CO HI NY and WA. This information appliesonlytoindividuals working inthese states.
The anticipated starting payrangefor Colorado is: 
$153000-$204000.The anticipated starting payrangefor the states of Hawaii and New York (not including NYC) is: 
$167400-$223200.The anticipated starting payrangefor California New York City and Washington is: $1863500-$244700.
Unless already included in the posted pay range and based on eligibilitythe role may include variable compensation in the form of bonus commissions or other discretionary payments. These discretionary payments are based on company and/or individual performance and may change at any time. Actual compensation is influenced by a wide array of factors including but not limited to skill set level of experiencelicenses and certificationsand specific work location.Informationon 
benefits offered ishere.#LI-STORM
#LI-DNI
About Rackspace Technology
We are the multicloud solutions experts. We combine our expertise with the world’s leading technologies — across applications data and security — to deliver end-to-end solutions. We have a proven record of advising customers based on their business challenges designing solutions that scale building and managing those solutions and optimizing returns into the future. Named a best place to work year after year according to Fortune Forbes and Glassdoor we attract and develop world-class talent. Join us on our mission to embrace technology empower customers and deliver the future.


More on Rackspace Technology
Though we’re all different Rackers thrive through our connection to a central goal: to be a valued member of a winning team on an inspiring mission. We bring our whole selves to work every day. And we embrace the notion that unique perspectives fuel innovation and enable us to best serve our customers and communities around the globe. We welcome you to apply today and want you to know that we are committed to offering equal employment opportunity without regard to age color disability gender reassignment or identity or expression genetic information marital or civil partner status pregnancy or maternity status military or veteran status nationality ethnic or national origin race religion or belief sexual orientation or any legally protected characteristic. If you have a disability or special need that requires accommodation please let us know.




See more
",2024-01-12,United States,2024-01-12 10:06:38.896372
Financial Planning & Analysis Manager,https://tryremotely.com/jobs/surveymonkey-financial-planning-analysis-manager-65918,"

   SurveyMonkey is a global leader in online surveys and forms that empowers people with the insights they need to make decisions with speed and confidence. Our fast intuitive feedback management platform connects millions of users worldwide with real-time AI-powered insights that drive meaningful decisions. We provide answers to more than 20 million questions every day so that people and organizations can attract new audiences delight customers create advocates and extend their competitive advantage in the marketplace. Our vision is to raise the bar for human experiences by amplifying individual voices. Learn more at surveymonkey.com. More about our Strategic Planning & Analysis Team We are a dynamic team of former investment bankers data analysts and technology finance professionals who enjoy solving the challenges that come with rapid scaling. Our mission is to bring people together by using data and insights to guide decisions and promote outcomes that maximize stakeholder value. What we’re looking for Were looking for a professional to influence decisions and shape outcomes at speed. You are innately curious love to synthesize data into actionable insights and are passionate about driving automation. In this highly visible role you will partner with senior leaders across the R&D organization and be the key strategic finance partner to support operational and financial planning business analysis and decision-making. You will also assume a pivotal role in overseeing the full consolidated P&L while actively contributing to achieving the companys target financial objectives/profile. What you’ll be working on  Embed with the business and provide strategic finance partnerships to senior leaders across the R&D organization Own significant responsibility in financial planning/forecasting (current quarter current year multi-year) for the R&D organization looking for and driving ways to improve accuracy and efficiency Provide concise reporting and analysis to partners ensuring drivers issues and required actions are understood Partner with the R&D department leadership to drive strategic resource allocation decisions Provide regular analysis and insights that improve our strategy and operational plans Help drive the SurveyMonkey consolidated P&L forecasts annual financial planning process and monthly/quarterly reporting to our executives and Board of Directors  We’d love to hear from people with  You have 5-7+ years of Finance related roles (investment banking management consulting FPA or finance operations)  You pride yourself on your spreadsheet skills and ability to create robust models from large datasets to reach actionable conclusions You can translate complex concepts into simple takeaways and are not hesitant to voice your point of view You excel at solving problems identifying the people and information you need structuring the analysis and connecting the dots to tell a compelling story You are passionate about taking something good and making it great Team environments are your jam; you leave your attitude and ego at the door Completing projects from end to end excites you You are curious and want to learn more about SaaS business models and metrics  #LI-remote  Why SurveyMonkey? We’re glad you asked  SurveyMonkey is a place where the curious come to grow. We’re building an inclusive workplace where people of every background can excel no matter their time zone. At SurveyMonkey we weave employee feedback into everything we do to create forward-looking benefits policies employee programs and an award-winning culture including best workplace for parents our annual holiday refresh our annual week of service and our C.H.O.I.C.E Fund. In addition we’ve reimagined the way we work to allow employees to choose what works best for them -- working in-person fully remote or a hybrid model that combines the two through our Choice Model.  Our commitment to an inclusive workplace SurveyMonkey is an equal opportunity employer committed to providing a workplace free from harassment and discrimination. We celebrate the unique differences of our employees because that is what drives curiosity innovation and the success of our business. We do not discriminate on the basis of race religion color national origin gender sexual orientation gender identity or expression age marital status veteran status disability status pregnancy parental status genetic information political affiliation or any other status protected by the laws or regulations in the locations where we operate. Accommodations are available for applicants with disabilities. 



See more
",2024-01-12,Canada,2024-01-12 10:06:39.496297
